
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[453](10:06:45)192.168.1.31: Timeout
[454](10:06:45)192.168.1.32: Timeout
[455](10:06:45)[0]-- TIME:20081026-100645

[456](10:06:46)[1]-- TIME:20081026-100646

[457](10:06:47)[2]-- TIME:20081026-100647

[458](10:06:48)[3]-- TIME:20081026-100648

[459](10:06:49)192.168.1.31: Timeout
[460](10:06:49)192.168.1.32: Timeout
[461](10:06:49)[0]-- TIME:20081026-100649

[462](10:06:50)[1]-- TIME:20081026-100650

[463](10:06:51)[2]-- TIME:20081026-100651

[464](10:06:52)[3]-- TIME:20081026-100652

[465](10:06:52)192.168.1.31: Timeout
[466](10:06:52)192.168.1.32: Timeout
[467](10:06:53)[0]-- TIME:20081026-100653

[468](10:06:54)[1]-- TIME:20081026-100654

[469](10:06:55)[2]-- TIME:20081026-100655

[470](10:06:56)[3]-- TIME:20081026-100656

[471](10:06:57)192.168.1.31: Timeout
[472](10:06:57)192.168.1.32: Timeout
[473](10:06:58)[0]-- TIME:20081026-100658

[474](10:06:59)[1]-- TIME:20081026-100659

[475](10:07:00)[2]-- TIME:20081026-100700

[476](10:07:01)[3]-- TIME:20081026-100701

[477](10:07:01)192.168.1.31: Timeout
[478](10:07:01)192.168.1.32: Timeout
[479](10:07:02)[0]-- TIME:20081026-100702

[480](10:07:03)[1]-- TIME:20081026-100703

[481](10:07:04)[2]-- TIME:20081026-100704

[482](10:07:05)[3]-- TIME:20081026-100705

[483](10:07:05)192.168.1.31: Timeout
[484](10:07:05)192.168.1.32: Timeout
[485](10:07:06)[0]-- TIME:20081026-100706

[486](10:07:07)[1]-- TIME:20081026-100707

[487](10:07:08)[2]-- TIME:20081026-100708

[488](10:07:09)[3]-- TIME:20081026-100709

[489](10:07:09)192.168.1.31: Timeout
[490](10:07:09)192.168.1.32: Timeout
[491](10:07:10)[0]-- TIME:20081026-100710

[492](10:07:11)[1]-- TIME:20081026-100711

[493](10:07:12)[2]-- TIME:20081026-100712

[494](10:07:13)[3]-- TIME:20081026-100713

[495](10:07:13)192.168.1.31: Timeout
[496](10:07:13)192.168.1.32: Timeout
[497](10:07:14)[0]-- TIME:20081026-100714

[498](10:07:15)[1]-- TIME:20081026-100715

[499](10:07:16)[2]-- TIME:20081026-100716

[500](10:07:17)[3]-- TIME:20081026-100717

[501](10:07:17)192.168.1.31: Timeout
[502](10:07:17)192.168.1.32: Timeout
[503](10:07:18)[0]-- TIME:20081026-100718

[504](10:07:19)[1]-- TIME:20081026-100719

[505](10:07:20)[2]-- TIME:20081026-100720

[506](10:07:21)[3]-- TIME:20081026-100721

[507](10:07:21)192.168.1.31: Timeout
